St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
9	238	3153	41633			9349	8036	162	0301			202501		-148 		-148 	Biblioteket	
71	239	3153	41633			9349	8032	162				202501		-102 		-102 	Tyghusetÿÿ	
71	240	6460	62400			3161	6211	180				202501		 102 		 102 	Tyghusetÿÿ	
72	241	3153	41632			9349	8032	162				202501		-152 		-152 	Teatern	
72	242	3153	41632			9349	8036	162	0014			202501		-20 694 		-20 694 	Teatern	
72	243	3153	41612			9347	8035	162				202501		-1 026 		-1 026 	Teatern	
72	244	6460	62400			3103	6211	180				202501		 152,00 		 152 	Teatern	
72	245	6132	62400			3103	6211	180				202501		 21 720,00 		 21 720 	Teatern	
35	246	6132	62500			9262	6211	180	6274			202501		 -   		 -   	™V-huset  v†n 1&2 uppsagd 20241231	
73	247	6132	91200			4071	9520	180				202501		 6 414 		 6 414 	Asmundtorp fsk	
73	248	3153	41621			9349	8000	120				202501		-6 414 		-6 414 	Asmundtorp fsk	
73	249	6132	91200			4071	9502	180	004151			202501		 12 829 		 12 829 	Asmundtorp fsk	
73	250	3153	41621			9349	8036	120	004151			202501		-12 829 		-12 829 	Asmundtorp fsk	
74	251	6132	92630			4400	9501	180	005411			202501		 2 450 		 2 450 	VEN Uranieborg skola	
74	252	3153	41633			9349	8000	120	005411			202501		-2 450 		-2 450 	VEN Uranieborg skola	
75	253	6132	91645			4071	9501	180	005431			202501		 2 450 		 2 450 	VEN Uranieborg fsk	
75	254	3153	41633			9349	8000	120	005431			202501		-2 450 		-2 450 	VEN Uranieborg fsk	
76	255	3153	41633			9349	8000	120				202501		-12 829 		-12 829 	All‚skolan matsal	
76	256	6132	92600			4400	9520	180				202501		 12 829 		 12 829 	All‚skolan matsal	
77	257	3153	41612			9347	8036	180				202501		-15 509 		-15 509 	Puls Arena	
77	258	3153	41612			9347	8035	180				202501		-962 		-962 	Puls Arena	
77	259	6132	80350			3406	8122	180	6050			202501		 16 471 		 16 471 	Puls Arena	
78	260	6132	80350			3408	8105	180				202501		 16 019 		 16 019 	Sand†kerns Idrottshall	
78	261	3153	41621			9349	8036	180	8990			202501		-16 019 		-16 019 	Sand†kerns Idrottshall	
78	262	6132	80350			3408	8105	180				202501		 9 611 		 9 611 	Sand†kerns Idrottshall	
78	263	3153	41621			9349	8036	180	8990			202501		-9 611 		-9 611 	Sand†kerns Idrottshall	
29	264	6132	80301			9388	8105	180				202501		 32 072 		 32 072 	Stadens f”rr†d 	
29	265	3153	41611			9349	8036	180	0005			202501		-32 072 		-32 072 	Stadens f”rr†d 	
29	266	6132	80301			9388	8105	180				202501		 3 208 		 3 208 	Stadens f”rr†d 	
51	267	3153	41611			9349	8036	170				202501		-64 184 		-64 184 	R†dmansgatan	
29	268	6132	80301			9388	8105	180				202501		 3 074 		 3 074 	Stadens f”rr†d 	
29	269	3153	41612			9347	8032	180	0005			202501		-3 074 		-3 074 	Stadens f”rr†d 	
29	270	6132	80301			9388	8105	180				202501		 853 		 853 	Stadens f”rr†d 	
29	271	3153	41612			9347	8035	180	0005			202501		-853 		-853 	Stadens f”rr†d 	
79	272	6132	80350			3405	8105	180				202501		 15 531 		 15 531 	Tyghuset 	
79	273	3153	41632			9349	8036	180				202501		-15 531 		-15 531 	Tyghuset 	
79	274	6132	80350			3405	8105	180				202501		 4 388 		 4 388 	Tyghuset 	
79	275	3153	41612			9347	8035	180				202501		-4 388 		-4 388 	Tyghuset 	
80	276	6132	80350			3408	8105	180				202501		 20 783 		 20 783 	V„sterv†ngskolan Idrottshall	
80	277	3153	41623			9349	8036	180	8969			202501		-20 783 		-20 783 	V„sterv†ngskolan Idrottshall	
81	278	3153	41632			9349	8036	130	0303			202501		-25 396 		-25 396 	Samordn aktivering Fr”jdenborg	
81	279	6132	30525			5108	3111	180				202501		 25 396 		 25 396 	Samordn aktivering Fr”jdenborg	
82	280	3153	41632			9349	8036	130	037111			202501		-9 740 		-9 740 	HV Centrum	
82	281	3153	41632			9349	8032	130	037111			202501		-1 812 		-1 812 	HV Centrum	
82	282	3153	41612			9347	8035	130	037111			202501		-484 		-484 	HV Centrum	
82	283	3153	41632			9349	8036	130	037111			202501		-9 740 		-9 740 	HV Fr”jdenborg	
82	284	3153	41632			9349	8032	130	037111			202501		-1 812 		-1 812 	HV Fr”jdenborg	
82	285	3153	41612			9347	8035	130	037111			202501		-484 		-484 	HV Fr”jdenborg	
82	286	3153	41632			9349	8036	130	037111			202501		-7 306 		-7 306 	Mottagningsteam	
82	287	3153	41632			9349	8032	130	037111			202501		-1 359 		-1 359 	Mottagningsteam	
82	288	3153	41612			9347	8035	130	037111			202501		-363 		-363 	Mottagningsteam	
82	289	3153	41632			9349	8036	130	037111			202501		-20 699 		-20 699 	Myndighetsenheten	
82	290	3153	41632			9349	8032	130	037111			202501		-3 852 		-3 852 	Myndighetsenheten	
82	291	3153	41612			9347	8035	130	037111			202501		-1 027 		-1 027 	Myndighetsenheten	
82	292	3153	41632			9349	8036	130	037111			202501		-13 393 		-13 393 	Omr†de st”d och service	
82	293	3153	41632			9349	8032	130	037111			202501		-2 492 		-2 492 	Omr†de st”d och service	
82	294	3153	41612			9347	8035	130	037111			202501		-665 		-665 	Omr†de st”d och service	
82	295	6132	31033			5103	3111	180				202501		 3 009 		 3 009 	Omsorgens hus, Slottsplatsen	
82	296	6132	30520			9231	3111	180				202501		 25 578 		 25 578 	Omsorgens hus, Slottsplatsen	
82	297	6132	31021			5101	3111	180				202501		 6 018 		 6 018 	Omsorgens hus, Slottsplatsen	
82	298	6132	31023			5101	3111	180				202501		 6 018 		 6 018 	Omsorgens hus, Slottsplatsen	
82	299	6132	33020			5320	3111	180	3367			202501		 10 532 		 10 532 	Omsorgens hus, Slottsplatsen	
82	300	6132	33025			5320	3111	180	3367			202501		 10 532 		 10 532 	Omsorgens hus, Slottsplatsen	
82	301	6132	33021			5101	3111	180	3367			202501		 15 046 		 15 046 	Omsorgens hus, Slottsplatsen	
82	302	6132	32000			5290	3111	180	3690			202501		 18 055 		 18 055 	Omsorgens hus, Slottsplatsen	
82	303	6132	32201			5231	3111	180				202501		 13 542 		 13 542 	Omsorgens hus, Slottsplatsen	
82	304	6132	31071			5198	3111	180				202501		 3 009 		 3 009 	Omsorgens hus, Slottsplatsen	
82	305	6132	33010			5300	3111	180				202501		 28 588 		 28 588 	Omsorgens hus, Slottsplatsen	
82	306	6132	31000			5101	3111	180				202501		 6 018 		 6 018 	Omsorgens hus, Slottsplatsen	
82	307	6132	30510			9237	3111	180				202501		 4 513 		 4 513 	Omsorgens hus, Slottsplatsen	
82	308	3153	41632			9349	8036	130	037111			202501		-20 699 		-20 699 	Rehabgruppen 	
82	309	3153	41632			9349	8032	130	037111			202501		-3 852 		-3 852 	Rehabgruppen 	
82	310	3153	41612			9347	8035	130	037111			202501		-1 027 		-1 027 	Rehabgruppen 	
82	311	3153	41632			9349	8036	130	037111			202501		-9 740 		-9 740 	Resursteam	
82	312	3153	41632			9349	8032	130	037111			202501		-1 812 		-1 812 	Resursteam	
82	313	3153	41612			9347	8035	130	037111			202501		-484 		-484 	Resursteam	
82	314	3153	41632			9349	8036	130	037111			202501		-15 220 		-15 220 	SSK-organisationen (A)	
82	315	3153	41632			9349	8032	130	037111			202501		-2 832 		-2 832 	SSK-organisationen (A)	
82	316	3153	41612			9347	8035	130	037111			202501		-756 		-756 	SSK-organisationen (A)	
82	317	3153	41632			9349	8036	130	037111			202501		-15 220 		-15 220 	SSK-organisationen (B)	
82	318	3153	41632			9349	8032	130	037111			202501		-2 832 		-2 832 	SSK-organisationen (B)	
82	319	3153	41612			9347	8035	130	037111			202501		-756 		-756 	SSK-organisationen (B)	
83	320	3153	41632			9349	8036	130	8921			202501		-5 193 		-5 193 	V F„laden S-hus Pj„sgatan 6	
83	321	3153	41612			9347	8035	130	8921			202501		-204 		-204 	V F„laden S-hus Pj„sgatan 6	
83	322	6132	30525			5108	3111	180				202501		 204 		 204 	V F„laden S-hus Pj„sgatan 6	
83	323	6132	30525			5108	3111	180				202501		 5 193 		 5 193 	V F„laden S-hus Pj„sgatan 6	
84	324	6132	90005			9220	9502	180				202501		 7 933 		 7 933 	Pil„ngskolan bibliotek	
84	325	3153	41622			9349	8036	120				202501		-7 933 		-7 933 	Pil„ngskolan bibliotek	
85	326	6132	80350			3408	8105	180				202501		 24 859 		 24 859 	™reundsgymnasiet idrottshall	
85	327	3153	41633			9349	8036	180				202501		-24 859 		-24 859 	™reundsgymnasiet idrottshall	
86	328	3153	41612			9347	8036	180	6050			202501		-9 630 		-9 630 	Puls Arena 	
86	329	6132	80350			3406	8122	180	6050			202501		 9 630 		 9 630 	Puls Arena	
87	330	6132	70014			5686	7600	180				202501		 5 031 		 5 031 	Navet 	
87	331	3153	41622			9349	8000	170				202501		-5 031 		-5 031 	Navet 	
88	332	3153	41611			9349	8036	150				202501		-9 771 		-9 771 	R†dmansgatan  (Enkla Jobb)	
88	333	6132	50103			6113	5037	180				202501		 9 771 		 9 771 	R†dmansgatan  (Enkla Jobb)	
89	334	3153	41612			9347	8035	150				202501		-1 229 		-1 229 	Emaljgatan v†ning 3, IT	
89	335	3153	41611			9349	8036	150				202501		-20 385 		-20 385 	Emaljgatan v†ning 3, IT	
89	336	6132	51300			9275	5030	180	5736			202501		 21 614 		 21 614 	Emaljgatan v†ning 3, IT	
90	337	3153	41622			9349	8036	120				202501		-998 		-998 	F”rskoleomr†de 5 Villan	
90	338	6132	91050			4071	9500	180				202501		 998 		 998 	F”rskoleomr†de 5 Villan	
91	339	3153	41633			9349	8036	130				202501		-12 840 		-12 840 	Eriksgatans dagverksamhet	
91	340	6132	31081			5101	3111	180				202501		 12 840 		 12 840 	Eriksgatans dagverksamhet	
